Date,6J=F
2000-09-13,0.009940000250935555
2000-09-15,0.009920000098645687
2000-09-22,0.009820000268518925
2000-09-29,0.009805000387132168
2000-10-06,0.009731000289320946
2000-10-10,0.009800000116229057
2000-10-13,0.009808000177145004
2000-10-27,0.009711000137031078
2000-11-03,0.009847999550402164
2000-11-10,0.009748999960720539
2000-11-17,0.009650999680161476
2000-11-22,0.009519999846816063
2000-11-24,0.009428000077605247
2000-12-01,0.009415999986231327
2000-12-08,0.009359999559819698
2000-12-13,0.009372999891638756
2000-12-15,0.009271999821066856
2000-12-22,0.009232000447809696
2000-12-29,0.009062999859452248
2001-01-04,0.008999999612569809
2001-01-05,0.008879000321030617
2001-01-10,0.00887999963015318
2001-01-11,0.008790000341832638
2001-01-12,0.008768999949097633
2001-01-19,0.008799999952316284
2001-01-23,0.008825000375509262
2001-01-24,0.008822999894618988
2001-01-26,0.008790000341832638
2001-01-31,0.008840000256896019
2001-02-02,0.00889899954199791
2001-02-07,0.008844999596476555
2001-02-09,0.00875100027769804
2001-02-12,0.008744999766349792
2001-02-15,0.008905000053346157
2001-02-16,0.008906999602913857
2001-02-21,0.008852999657392502
2001-02-22,0.008813999593257904
2001-02-27,0.008817999623715878
2001-02-28,0.008824000135064125
2001-03-01,0.008740000426769257
2001-03-02,0.00861200038343668
2001-03-05,0.00860700011253357
2001-03-06,0.008623000234365463
2001-03-07,0.008550000376999378
2001-03-08,0.008554999716579914
2001-03-09,0.008554000407457352
2001-03-12,0.008510000072419643
2001-03-13,0.008547999896109104
2001-03-14,0.008449999615550041
2001-03-15,0.008349999785423279
2001-03-16,0.008326999843120575
2001-03-19,0.008328000083565712
2001-03-20,0.008340000174939632
2001-03-21,0.00827800016850233
2001-03-22,0.008259999565780163
2001-03-23,0.008340000174939632
2001-03-26,0.008314000442624092
2001-03-27,0.008388999849557877
2001-03-28,0.008334999904036522
2001-03-29,0.00826600007712841
2001-03-30,0.008089999668300152
2001-04-02,0.008104999549686909
2001-04-03,0.008124000392854214
2001-04-04,0.008139999583363533
2001-04-05,0.008218999952077866
2001-04-06,0.008225999772548676
2001-04-09,0.008155000396072865
2001-04-10,0.008191999979317188
2001-04-11,0.00821600016206503
2001-04-12,0.008239000104367733
2001-04-16,0.008197999559342861
